Sentença	Id	Origem	Classe
Como introduzir elementos em uma estrutura de dados pilha ?	5_pert_5	5	0
Como localizar elementos em uma estrutura de dados pilha ?	5_pert_6	5	0
Como reconhecer elementos em uma estrutura de dados pilha ?	5_pert_7	5	0
Como incluir elementos em uma estrutura de dados pilha ?	5_pert_8	5	0
Como organizar elementos em uma estrutura de dados pilha ?	5_pert_9	5	0
Como criar elementos em uma estrutura de dados pilha ?	5_pert_10	5	0
Como construir elementos em uma estrutura de dados pilha ?	5_pert_11	5	0
Como colocar elementos em uma estrutura de dados pilha ?	5_pert_12	5	0
Como representar elementos em uma estrutura de dados pilha ?	5_pert_13	5	0
Como buscar elementos em uma estrutura de dados pilha ?	5_pert_14	5	0
Como escrever elementos em uma estrutura de dados pilha ?	5_pert_15	5	0
Como classificar elementos em uma estrutura de dados pilha ?	5_pert_16	5	0
Como analisar elementos em uma estrutura de dados pilha ?	5_pert_17	5	0
Como procurar elementos em uma estrutura de dados pilha ?	5_pert_18	5	0
Como utilizar elementos em uma estrutura de dados pilha ?	5_pert_19	5	0
Como empilhar e desempilhar elementos em uma estrutura de dados pilha ?	6	6	1
Como empilhar e organizar elementos em uma estrutura de dados pilha ?	6_pert_0	6	0
Como empilhar e distribuir elementos em uma estrutura de dados pilha ?	6_pert_1	6	0
Como empilhar e separar elementos em uma estrutura de dados pilha ?	6_pert_2	6	0
Como empilhar e mover elementos em uma estrutura de dados pilha ?	6_pert_3	6	0
Como empilhar e reunir elementos em uma estrutura de dados pilha ?	6_pert_4	6	0
Como empilhar e classificar elementos em uma estrutura de dados pilha ?	6_pert_5	6	0
Como empilhar e juntar elementos em uma estrutura de dados pilha ?	6_pert_6	6	0
Como empilhar e localizar elementos em uma estrutura de dados pilha ?	6_pert_7	6	0
Como empilhar e representar elementos em uma estrutura de dados pilha ?	6_pert_8	6	0
Como empilhar e unir elementos em uma estrutura de dados pilha ?	6_pert_9	6	0
Como empilhar e exibir elementos em uma estrutura de dados pilha ?	6_pert_10	6	0
Como empilhar e integrar elementos em uma estrutura de dados pilha ?	6_pert_11	6	0
Como empilhar e compartilhar elementos em uma estrutura de dados pilha ?	6_pert_12	6	0
Como empilhar e dividir elementos em uma estrutura de dados pilha ?	6_pert_13	6	0
Como empilhar e colocar elementos em uma estrutura de dados pilha ?	6_pert_14	6	0
Como empilhar e colar elementos em uma estrutura de dados pilha ?	6_pert_15	6	0
Como empilhar e controlar elementos em uma estrutura de dados pilha ?	6_pert_16	6	0
Como empilhar e adicionar elementos em uma estrutura de dados pilha ?	6_pert_17	6	0
Como empilhar e carregar elementos em uma estrutura de dados pilha ?	6_pert_18	6	0
Como empilhar e tratar elementos em uma estrutura de dados pilha ?	6_pert_19	6	0
Como desempilhar elementos em uma pilha ?	7	7	1
Como colocar elementos em uma pilha ?	7_pert_0	7	0
Como adicionar elementos em uma pilha ?	7_pert_1	7	0
Como organizar elementos em uma pilha ?	7_pert_2	7	0
Como identificar elementos em uma pilha ?	7_pert_3	7	0
Como encontrar elementos em uma pilha ?	7_pert_4	7	0
Como localizar elementos em uma pilha ?	7_pert_5	7	0
Como ligar elementos em uma pilha ?	7_pert_6	7	0
Como separar elementos em uma pilha ?	7_pert_7	7	0
Como obter elementos em uma pilha ?	7_pert_8	7	0
Como introduzir elementos em uma pilha ?	7_pert_9	7	0
Como incluir elementos em uma pilha ?	7_pert_10	7	0
Como juntar elementos em uma pilha ?	7_pert_11	7	0
Como procurar elementos em uma pilha ?	7_pert_12	7	0
Como reconhecer elementos em uma pilha ?	7_pert_13	7	0
Como reunir elementos em uma pilha ?	7_pert_14	7	0
Como achar elementos em uma pilha ?	7_pert_15	7	0
Como descobrir elementos em uma pilha ?	7_pert_16	7	0
Como transformar elementos em uma pilha ?	7_pert_17	7	0
Como classificar elementos em uma pilha ?	7_pert_18	7	0
Como escrever elementos em uma pilha ?	7_pert_19	7	0
Como desempilhar elementos em uma estrutura de dados pilha ?	8	8	1
Como desempilhar elementos em uma base de dados pilha ?	8_pert_0	8	0
Como desempilhar elementos em uma estrutura de dados pilha ?	8_pert_1	8	0
Como desempilhar elementos em uma árvore de dados pilha ?	8_pert_2	8	0
Como desempilhar elementos em uma matriz de dados pilha ?	8_pert_3	8	0
Como desempilhar elementos em uma coleção de dados pilha ?	8_pert_4	8	0
Como desempilhar elementos em uma biblioteca de dados pilha ?	8_pert_5	8	0
Como desempilhar elementos em uma entrada de dados pilha ?	8_pert_6	8	0
Como desempilhar elementos em uma fonte de dados pilha ?	8_pert_7	8	0
Como desempilhar elementos em uma tabela de dados pilha ?	8_pert_8	8	0
Como desempilhar elementos em uma malha de dados pilha ?	8_pert_9	8	0
Como desempilhar elementos em uma mineração de dados pilha ?	8_pert_10	8	0
Como desempilhar elementos em uma folha de dados pilha ?	8_pert_11	8	0
Como desempilhar elementos em uma camada de dados pilha ?	8_pert_12	8	0
Como desempilhar elementos em uma arquitetura de dados pilha ?	8_pert_13	8	0
Como desempilhar elementos em uma memória de dados pilha ?	8_pert_14	8	0
Como desempilhar elementos em uma representação de dados pilha ?	8_pert_15	8	0
Como desempilhar elementos em uma banco de dados pilha ?	8_pert_16	8	0
Como desempilhar elementos em uma pilha de dados pilha ?	8_pert_17	8	0
Como desempilhar elementos em uma análise de dados pilha ?	8_pert_18	8	0
Como desempilhar elementos em uma área de dados pilha ?	8_pert_19	8	0
O que é uma pilha e como empilhar seu elemento ?	9	9	1
O que é uma pilha e como identificar seu elemento ?	9_pert_0	9	0
O que é uma pilha e como funciona seu elemento ?	9_pert_1	9	0
O que é uma pilha e como localizar seu elemento ?	9_pert_2	9	0
O que é uma pilha e como é seu elemento ?	9_pert_3	9	0
O que é uma pilha e como encontrar seu elemento ?	9_pert_4	9	0
O que é uma pilha e como classificar seu elemento ?	9_pert_5	9	0
O que é uma pilha e como calcular seu elemento ?	9_pert_6	9	0
O que é uma pilha e como medir seu elemento ?	9_pert_7	9	0
O que é uma pilha e como utilizar seu elemento ?	9_pert_8	9	0
O que é uma pilha e como usar seu elemento ?	9_pert_9	9	0
O que é uma pilha e como reconhecer seu elemento ?	9_pert_10	9	0
O que é uma pilha e como descobrir seu elemento ?	9_pert_11	9	0
O que é uma pilha e como substituir seu elemento ?	9_pert_12	9	0
O que é uma pilha e como escolher seu elemento ?	9_pert_13	9	0
O que é uma pilha e como formar seu elemento ?	9_pert_14	9	0
O que é uma pilha e como obter seu elemento ?	9_pert_15	9	0
O que é uma pilha e como representar seu elemento ?	9_pert_16	9	0
O que é uma pilha e como determinar seu elemento ?	9_pert_17	9	0
O que é uma pilha e como organizar seu elemento ?	9_pert_18	9	0
O que é uma pilha e como achar seu elemento ?	9_pert_19	9	0
O que é uma fila e como enfileirar seu elemento ?	10	10	1
O que é uma fila e como identificar seu elemento ?	10_pert_0	10	0
O que é uma fila e como é seu elemento ?	10_pert_1	10	0
O que é uma fila e como definir seu elemento ?	10_pert_2	10	0
O que é uma fila e como localizar seu elemento ?	10_pert_3	10	0
O que é uma fila e como organizar seu elemento ?	10_pert_4	10	0
O que é uma fila e como classificar seu elemento ?	10_pert_5	10	0
O que é uma fila e como formar seu elemento ?	10_pert_6	10	0
O que é uma fila e como reconhecer seu elemento ?	10_pert_7	10	0
O que é uma fila e como funciona seu elemento ?	10_pert_8	10	0
O que é uma fila e como representar seu elemento ?	10_pert_9	10	0
O que é uma fila e como determinar seu elemento ?	10_pert_10	10	0
O que é uma fila e como distinguir seu elemento ?	10_pert_11	10	0
O que é uma fila e como encontrar seu elemento ?	10_pert_12	10	0
O que é uma fila e como calcular seu elemento ?	10_pert_13	10	0
O que é uma fila e como escolher seu elemento ?	10_pert_14	10	0
O que é uma fila e como surge seu elemento ?	10_pert_15	10	0
O que é uma fila e como surgiu seu elemento ?	10_pert_16	10	0
O que é uma fila e como seria seu elemento ?	10_pert_17	10	0
O que é uma fila e como ocorre seu elemento ?	10_pert_18	10	0
O que é uma fila e como dividir seu elemento ?	10_pert_19	10	0
O que é uma fila e como desenfileirar um elemento nela ?	11	11	1
O que é uma fila e como desenfileirar um carro nela ?	11_pert_0	11	0
O que é uma fila e como desenfileirar um veículo nela ?	11_pert_1	11	0
O que é uma fila e como desenfileirar um cliente nela ?	11_pert_2	11	0
O que é uma fila e como desenfileirar um animal nela ?	11_pert_3	11	0
O que é uma fila e como desenfileirar um produto nela ?	11_pert_4	11	0
O que é uma fila e como desenfileirar um caminhão nela ?	11_pert_5	11	0
O que é uma fila e como desenfileirar um automóvel nela ?	11_pert_6	11	0
O que é uma fila e como desenfileirar um cão nela ?	11_pert_7	11	0
O que é uma fila e como desenfileirar um cartão nela ?	11_pert_8	11	0
O que é uma fila e como desenfileirar um item nela ?	11_pert_9	11	0
O que é uma fila e como desenfileirar um ônibus nela ?	11_pert_10	11	0
O que é uma fila e como desenfileirar um cachorro nela ?	11_pert_11	11	0
O que é uma fila e como desenfileirar um objeto nela ?	11_pert_12	11	0
O que é uma fila e como desenfileirar um livro nela ?	11_pert_13	11	0
O que é uma fila e como desenfileirar um ingresso nela ?	11_pert_14	11	0
O que é uma fila e como desenfileirar um paciente nela ?	11_pert_15	11	0
O que é uma fila e como desenfileirar um bebê nela ?	11_pert_16	11	0
O que é uma fila e como desenfileirar um cavalo nela ?	11_pert_17	11	0
O que é uma fila e como desenfileirar um visitante nela ?	11_pert_18	11	0
O que é uma fila e como desenfileirar um indivíduo nela ?	11_pert_19	11	0
O que é uma pilha e como desempilhar um elemento nela ?	12	12	1
O que é uma pilha e como colocar um elemento nela ?	12_pert_0	12	0
O que é uma pilha e como adicionar um elemento nela ?	12_pert_1	12	0
O que é uma pilha e como ligar um elemento nela ?	12_pert_2	12	0
O que é uma pilha e como introduzir um elemento nela ?	12_pert_3	12	0
O que é uma pilha e como escrever um elemento nela ?	12_pert_4	12	0
O que é uma pilha e como incluir um elemento nela ?	12_pert_5	12	0
O que é uma pilha e como localizar um elemento nela ?	12_pert_6	12	0
O que é uma pilha e como organizar um elemento nela ?	12_pert_7	12	0
O que é uma pilha e como por um elemento nela ?	12_pert_8	12	0
O que é uma pilha e como cabe um elemento nela ?	12_pert_9	12	0
O que é uma pilha e como prender um elemento nela ?	12_pert_10	12	0
O que é uma pilha e como fica um elemento nela ?	12_pert_11	12	0
O que é uma pilha e como carregar um elemento nela ?	12_pert_12	12	0
O que é uma pilha e como transformar um elemento nela ?	12_pert_13	12	0
O que é uma pilha e como substituir um elemento nela ?	12_pert_14	12	0
O que é uma pilha e como encontrar um elemento nela ?	12_pert_15	12	0
O que é uma pilha e como fixar um elemento nela ?	12_pert_16	12	0
O que é uma pilha e como usar um elemento nela ?	12_pert_17	12	0
O que é uma pilha e como pôr um elemento nela ?	12_pert_18	12	0
O que é uma pilha e como identificar um elemento nela ?	12_pert_19	12	0
O que é uma fila e como enfileirar um elemento nela ?	13	13	1
O que é uma fila e como colocar um elemento nela ?	13_pert_0	13	0
O que é uma fila e como adicionar um elemento nela ?	13_pert_1	13	0
O que é uma fila e como identificar um elemento nela ?	13_pert_2	13	0
O que é uma fila e como incluir um elemento nela ?	13_pert_3	13	0
O que é uma fila e como organizar um elemento nela ?	13_pert_4	13	0
O que é uma fila e como localizar um elemento nela ?	13_pert_5	13	0
O que é uma fila e como classificar um elemento nela ?	13_pert_6	13	0
O que é uma fila e como introduzir um elemento nela ?	13_pert_7	13	0
O que é uma fila e como desenhar um elemento nela ?	13_pert_8	13	0
O que é uma fila e como representar um elemento nela ?	13_pert_9	13	0
O que é uma fila e como definir um elemento nela ?	13_pert_10	13	0
O que é uma fila e como cada um elemento nela ?	13_pert_11	13	0
O que é uma fila e como escrever um elemento nela ?	13_pert_12	13	0
O que é uma fila e como encontrar um elemento nela ?	13_pert_13	13	0
O que é uma fila e como há um elemento nela ?	13_pert_14	13	0
O que é uma fila e como mover um elemento nela ?	13_pert_15	13	0
O que é uma fila e como é um elemento nela ?	13_pert_16	13	0
O que é uma fila e como substituir um elemento nela ?	13_pert_17	13	0
O que é uma fila e como por um elemento nela ?	13_pert_18	13	0
O que é uma fila e como fica um elemento nela ?	13_pert_19	13	0
O que é uma pilha e como empilhar um elemento nela ?	14	14	1
O que é uma pilha e como colocar um elemento nela ?	14_pert_0	14	0
O que é uma pilha e como adicionar um elemento nela ?	14_pert_1	14	0
O que é uma pilha e como ligar um elemento nela ?	14_pert_2	14	0
O que é uma pilha e como introduzir um elemento nela ?	14_pert_3	14	0
O que é uma pilha e como escrever um elemento nela ?	14_pert_4	14	0
O que é uma pilha e como incluir um elemento nela ?	14_pert_5	14	0
O que é uma pilha e como localizar um elemento nela ?	14_pert_6	14	0
O que é uma pilha e como organizar um elemento nela ?	14_pert_7	14	0
O que é uma pilha e como por um elemento nela ?	14_pert_8	14	0
O que é uma pilha e como cabe um elemento nela ?	14_pert_9	14	0
O que é uma pilha e como prender um elemento nela ?	14_pert_10	14	0
O que é uma pilha e como fica um elemento nela ?	14_pert_11	14	0
O que é uma pilha e como carregar um elemento nela ?	14_pert_12	14	0
O que é uma pilha e como transformar um elemento nela ?	14_pert_13	14	0
O que é uma pilha e como substituir um elemento nela ?	14_pert_14	14	0
O que é uma pilha e como encontrar um elemento nela ?	14_pert_15	14	0
O que é uma pilha e como fixar um elemento nela ?	14_pert_16	14	0
O que é uma pilha e como usar um elemento nela ?	14_pert_17	14	0
O que é uma pilha e como pôr um elemento nela ?	14_pert_18	14	0
O que é uma pilha e como identificar um elemento nela ?	14_pert_19	14	0
O que é uma pilha e como empilhar e desempilhar seus elementos ?	15	15	1
O que é uma pilha e como separar e desempilhar seus elementos ?	15_pert_0	15	0
O que é uma pilha e como organizar e desempilhar seus elementos ?	15_pert_1	15	0
O que é uma pilha e como juntar e desempilhar seus elementos ?	15_pert_2	15	0
O que é uma pilha e como carregar e desempilhar seus elementos ?	15_pert_3	15	0
O que é uma pilha e como preparar e desempilhar seus elementos ?	15_pert_4	15	0
O que é uma pilha e como montar e desempilhar seus elementos ?	15_pert_5	15	0
O que é uma pilha e como recolher e desempilhar seus elementos ?	15_pert_6	15	0
O que é uma pilha e como reunir e desempilhar seus elementos ?	15_pert_7	15	0
O que é uma pilha e como retirar e desempilhar seus elementos ?	15_pert_8	15	0
O que é uma pilha e como cortar e desempilhar seus elementos ?	15_pert_9	15	0
O que é uma pilha e como abrir e desempilhar seus elementos ?	15_pert_10	15	0
O que é uma pilha e como prender e desempilhar seus elementos ?	15_pert_11	15	0
O que é uma pilha e como colocar e desempilhar seus elementos ?	15_pert_12	15	0
O que é uma pilha e como introduzir e desempilhar seus elementos ?	15_pert_13	15	0
O que é uma pilha e como lançar e desempilhar seus elementos ?	15_pert_14	15	0
O que é uma pilha e como pegar e desempilhar seus elementos ?	15_pert_15	15	0
O que é uma pilha e como transportar e desempilhar seus elementos ?	15_pert_16	15	0
O que é uma pilha e como acomodar e desempilhar seus elementos ?	15_pert_17	15	0
O que é uma pilha e como ligar e desempilhar seus elementos ?	15_pert_18	15	0
O que é uma pilha e como localizar e desempilhar seus elementos ?	15_pert_19	15	0
O que é uma fila e como enfileirar e desenfileirar seus elementos ?	16	16	1
O que é uma fila e como organizar e desenfileirar seus elementos ?	16_pert_0	16	0
O que é uma fila e como separar e desenfileirar seus elementos ?	16_pert_1	16	0
O que é uma fila e como juntar e desenfileirar seus elementos ?	16_pert_2	16	0
O que é uma fila e como reunir e desenfileirar seus elementos ?	16_pert_3	16	0
O que é uma fila e como localizar e desenfileirar seus elementos ?	16_pert_4	16	0
O que é uma fila e como identificar e desenfileirar seus elementos ?	16_pert_5	16	0
O que é uma fila e como retirar e desenfileirar seus elementos ?	16_pert_6	16	0
O que é uma fila e como montar e desenfileirar seus elementos ?	16_pert_7	16	0
O que é uma fila e como classificar e desenfileirar seus elementos ?	16_pert_8	16	0
O que é uma fila e como formar e desenfileirar seus elementos ?	16_pert_9	16	0
O que é uma fila e como unir e desenfileirar seus elementos ?	16_pert_10	16	0
O que é uma fila e como integrar e desenfileirar seus elementos ?	16_pert_11	16	0
O que é uma fila e como cortar e desenfileirar seus elementos ?	16_pert_12	16	0
O que é uma fila e como prender e desenfileirar seus elementos ?	16_pert_13	16	0
O que é uma fila e como preparar e desenfileirar seus elementos ?	16_pert_14	16	0
O que é uma fila e como acomodar e desenfileirar seus elementos ?	16_pert_15	16	0
O que é uma fila e como colocar e desenfileirar seus elementos ?	16_pert_16	16	0
O que é uma fila e como incorporar e desenfileirar seus elementos ?	16_pert_17	16	0
O que é uma fila e como construir e desenfileirar seus elementos ?	16_pert_18	16	0
O que é uma fila e como remover e desenfileirar seus elementos ?	16_pert_19	16	0
Como são implementadas as operações de empilhar e desempilhar elementos em uma pilha ?	17	17	1
Como são implementadas as operações de empilhar e organizar elementos em uma pilha ?	17_pert_0	17	0
Como são implementadas as operações de empilhar e juntar elementos em uma pilha ?	17_pert_1	17	0
Como são implementadas as operações de empilhar e distribuir elementos em uma pilha ?	17_pert_2	17	0
Como são implementadas as operações de empilhar e colocar elementos em uma pilha ?	17_pert_3	17	0
Como são implementadas as operações de empilhar e separar elementos em uma pilha ?	17_pert_4	17	0
Como são implementadas as operações de empilhar e carregar elementos em uma pilha ?	17_pert_5	17	0
Como são implementadas as operações de empilhar e colar elementos em uma pilha ?	17_pert_6	17	0
Como são implementadas as operações de empilhar e reunir elementos em uma pilha ?	17_pert_7	17	0
Como são implementadas as operações de empilhar e mover elementos em uma pilha ?	17_pert_8	17	0
Como são implementadas as operações de empilhar e transportar elementos em uma pilha ?	17_pert_9	17	0
Como são implementadas as operações de empilhar e lançar elementos em uma pilha ?	17_pert_10	17	0
Como são implementadas as operações de empilhar e dividir elementos em uma pilha ?	17_pert_11	17	0
Como são implementadas as operações de empilhar e adicionar elementos em uma pilha ?	17_pert_12	17	0
Como são implementadas as operações de empilhar e cortar elementos em uma pilha ?	17_pert_13	17	0
Como são implementadas as operações de empilhar e recolher elementos em uma pilha ?	17_pert_14	17	0
Como são implementadas as operações de empilhar e unir elementos em uma pilha ?	17_pert_15	17	0
Como são implementadas as operações de empilhar e concentrar elementos em uma pilha ?	17_pert_16	17	0
Como são implementadas as operações de empilhar e remover elementos em uma pilha ?	17_pert_17	17	0
Como são implementadas as operações de empilhar e prender elementos em uma pilha ?	17_pert_18	17	0
Como são implementadas as operações de empilhar e montar elementos em uma pilha ?	17_pert_19	17	0
Como são implementadas as operações de enfileirar e desenfileirar elementos em uma fila ?	18	18	1
Como são implementadas as operações de separar e desenfileirar elementos em uma fila ?	18_pert_0	18	0
Como são implementadas as operações de juntar e desenfileirar elementos em uma fila ?	18_pert_1	18	0
Como são implementadas as operações de retirar e desenfileirar elementos em uma fila ?	18_pert_2	18	0
Como são implementadas as operações de organizar e desenfileirar elementos em uma fila ?	18_pert_3	18	0
Como são implementadas as operações de colocar e desenfileirar elementos em uma fila ?	18_pert_4	18	0
Como são implementadas as operações de reunir e desenfileirar elementos em uma fila ?	18_pert_5	18	0
Como são implementadas as operações de classificar e desenfileirar elementos em uma fila ?	18_pert_6	18	0
Como são implementadas as operações de cortar e desenfileirar elementos em uma fila ?	18_pert_7	18	0
Como são implementadas as operações de envolver e desenfileirar elementos em uma fila ?	18_pert_8	18	0
Como são implementadas as operações de colar e desenfileirar elementos em uma fila ?	18_pert_9	18	0
Como são implementadas as operações de identificar e desenfileirar elementos em uma fila ?	18_pert_10	18	0
Como são implementadas as operações de prender e desenfileirar elementos em uma fila ?	18_pert_11	18	0
Como são implementadas as operações de remover e desenfileirar elementos em uma fila ?	18_pert_12	18	0
Como são implementadas as operações de incorporar e desenfileirar elementos em uma fila ?	18_pert_13	18	0
Como são implementadas as operações de unir e desenfileirar elementos em uma fila ?	18_pert_14	18	0
Como são implementadas as operações de localizar e desenfileirar elementos em uma fila ?	18_pert_15	18	0
Como são implementadas as operações de acomodar e desenfileirar elementos em uma fila ?	18_pert_16	18	0
Como são implementadas as operações de carregar e desenfileirar elementos em uma fila ?	18_pert_17	18	0
Como são implementadas as operações de montar e desenfileirar elementos em uma fila ?	18_pert_18	18	0
Como são implementadas as operações de transferir e desenfileirar elementos em uma fila ?	18_pert_19	18	0
Em uma pilha a operação de empilhar ocorre em qual extremidade ?	19	19	1
Em uma pilha a operação de carga ocorre em qual extremidade ?	19_pert_0	19	0
Em uma pilha a operação de alimentação ocorre em qual extremidade ?	19_pert_1	19	0
Em uma pilha a operação de saída ocorre em qual extremidade ?	19_pert_2	19	0
Em uma pilha a operação de montagem ocorre em qual extremidade ?	19_pert_3	19	0
Em uma pilha a operação de leitura ocorre em qual extremidade ?	19_pert_4	19	0
Em uma pilha a operação de ligação ocorre em qual extremidade ?	19_pert_5	19	0
Em uma pilha a operação de rotação ocorre em qual extremidade ?	19_pert_6	19	0
Em uma pilha a operação de expansão ocorre em qual extremidade ?	19_pert_7	19	0
Em uma pilha a operação de entrada ocorre em qual extremidade ?	19_pert_8	19	0
Em uma pilha a operação de escrita ocorre em qual extremidade ?	19_pert_9	19	0
Em uma pilha a operação de partida ocorre em qual extremidade ?	19_pert_10	19	0
Em uma pilha a operação de tensão ocorre em qual extremidade ?	19_pert_11	19	0
Em uma pilha a operação de pilha ocorre em qual extremidade ?	19_pert_12	19	0
Em uma pilha a operação de equilíbrio ocorre em qual extremidade ?	19_pert_13	19	0
Em uma pilha a operação de carregar ocorre em qual extremidade ?	19_pert_14	19	0
Em uma pilha a operação de condução ocorre em qual extremidade ?	19_pert_15	19	0
Em uma pilha a operação de aquecimento ocorre em qual extremidade ?	19_pert_16	19	0
Em uma pilha a operação de armazenamento ocorre em qual extremidade ?	19_pert_17	19	0
Em uma pilha a operação de operação ocorre em qual extremidade ?	19_pert_18	19	0
Em uma pilha a operação de potência ocorre em qual extremidade ?	19_pert_19	19	0
Em uma fila a operação de enfileirar ocorre em qual extremidade ?	20	20	1
Em uma fila a operação de entrada ocorre em qual extremidade ?	20_pert_0	20	0
Em uma fila a operação de saída ocorre em qual extremidade ?	20_pert_1	20	0
Em uma fila a operação de fechamento ocorre em qual extremidade ?	20_pert_2	20	0
Em uma fila a operação de rotação ocorre em qual extremidade ?	20_pert_3	20	0
Em uma fila a operação de separação ocorre em qual extremidade ?	20_pert_4	20	0
Em uma fila a operação de montagem ocorre em qual extremidade ?	20_pert_5	20	0
Em uma fila a operação de passagem ocorre em qual extremidade ?	20_pert_6	20	0
Em uma fila a operação de seleção ocorre em qual extremidade ?	20_pert_7	20	0
Em uma fila a operação de parada ocorre em qual extremidade ?	20_pert_8	20	0
