Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	__next__	Granularidade	Sentença
o	DET	0	f32d39fbc7044eb6ada2ac189c2db703_pert_1	f32d39fbc7044eb6ada2ac189c2db703	0	0	1	26	0	Qual o valor de um crédito na maioria das universidades ?
valor	NOUN	0	f32d39fbc7044eb6ada2ac189c2db703_pert_1	f32d39fbc7044eb6ada2ac189c2db703	0	1	2	27	0	Qual o valor de um crédito na maioria das universidades ?
de	ADP	0	f32d39fbc7044eb6ada2ac189c2db703_pert_1	f32d39fbc7044eb6ada2ac189c2db703	0	0	3	28	0	Qual o valor de um crédito na maioria das universidades ?
um	DET	0	f32d39fbc7044eb6ada2ac189c2db703_pert_1	f32d39fbc7044eb6ada2ac189c2db703	0	0	4	29	0	Qual o valor de um crédito na maioria das universidades ?
crédito	NOUN	0	f32d39fbc7044eb6ada2ac189c2db703_pert_1	f32d39fbc7044eb6ada2ac189c2db703	0	0	5	30	0	Qual o valor de um crédito na maioria das universidades ?
na	ADP	0	f32d39fbc7044eb6ada2ac189c2db703_pert_1	f32d39fbc7044eb6ada2ac189c2db703	0	0	6	31	0	Qual o valor de um crédito na maioria das universidades ?
maioria	NOUN	0	f32d39fbc7044eb6ada2ac189c2db703_pert_1	f32d39fbc7044eb6ada2ac189c2db703	0	0	7	32	0	Qual o valor de um crédito na maioria das universidades ?
das	ADP	0	f32d39fbc7044eb6ada2ac189c2db703_pert_1	f32d39fbc7044eb6ada2ac189c2db703	0	0	8	33	0	Qual o valor de um crédito na maioria das universidades ?
universidades	NOUN	0	f32d39fbc7044eb6ada2ac189c2db703_pert_1	f32d39fbc7044eb6ada2ac189c2db703	0	0	9	34	0	Qual o valor de um crédito na maioria das universidades ?
?	PUNCT	0	f32d39fbc7044eb6ada2ac189c2db703_pert_1	f32d39fbc7044eb6ada2ac189c2db703	0	0	10	35	0	Qual o valor de um crédito na maioria das universidades ?
Qual o valor de um crédito na maioria das universidades ?	['DET', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	f32d39fbc7044eb6ada2ac189c2db703_pert_1	f32d39fbc7044eb6ada2ac189c2db703	0	-1	-1		1	Qual o valor de um crédito na maioria das universidades ?
Qual	DET	0	f32d39fbc7044eb6ada2ac189c2db703_pert_2	f32d39fbc7044eb6ada2ac189c2db703	0	0	0	37	0	Qual o preço de um crédito na maioria das universidades ?
o	DET	0	f32d39fbc7044eb6ada2ac189c2db703_pert_2	f32d39fbc7044eb6ada2ac189c2db703	0	0	1	38	0	Qual o preço de um crédito na maioria das universidades ?
preço	NOUN	0	f32d39fbc7044eb6ada2ac189c2db703_pert_2	f32d39fbc7044eb6ada2ac189c2db703	0	1	2	39	0	Qual o preço de um crédito na maioria das universidades ?
de	ADP	0	f32d39fbc7044eb6ada2ac189c2db703_pert_2	f32d39fbc7044eb6ada2ac189c2db703	0	0	3	40	0	Qual o preço de um crédito na maioria das universidades ?
um	DET	0	f32d39fbc7044eb6ada2ac189c2db703_pert_2	f32d39fbc7044eb6ada2ac189c2db703	0	0	4	41	0	Qual o preço de um crédito na maioria das universidades ?
crédito	NOUN	0	f32d39fbc7044eb6ada2ac189c2db703_pert_2	f32d39fbc7044eb6ada2ac189c2db703	0	0	5	42	0	Qual o preço de um crédito na maioria das universidades ?
na	ADP	0	f32d39fbc7044eb6ada2ac189c2db703_pert_2	f32d39fbc7044eb6ada2ac189c2db703	0	0	6	43	0	Qual o preço de um crédito na maioria das universidades ?
maioria	NOUN	0	f32d39fbc7044eb6ada2ac189c2db703_pert_2	f32d39fbc7044eb6ada2ac189c2db703	0	0	7	44	0	Qual o preço de um crédito na maioria das universidades ?
das	ADP	0	f32d39fbc7044eb6ada2ac189c2db703_pert_2	f32d39fbc7044eb6ada2ac189c2db703	0	0	8	45	0	Qual o preço de um crédito na maioria das universidades ?
universidades	NOUN	0	f32d39fbc7044eb6ada2ac189c2db703_pert_2	f32d39fbc7044eb6ada2ac189c2db703	0	0	9	46	0	Qual o preço de um crédito na maioria das universidades ?
?	PUNCT	0	f32d39fbc7044eb6ada2ac189c2db703_pert_2	f32d39fbc7044eb6ada2ac189c2db703	0	0	10	47	0	Qual o preço de um crédito na maioria das universidades ?
Qual o preço de um crédito na maioria das universidades ?	['DET', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	f32d39fbc7044eb6ada2ac189c2db703_pert_2	f32d39fbc7044eb6ada2ac189c2db703	0	-1	-1		1	Qual o preço de um crédito na maioria das universidades ?
Qual	DET	0	f32d39fbc7044eb6ada2ac189c2db703_pert_3	f32d39fbc7044eb6ada2ac189c2db703	0	0	0	49	0	Qual o limite de um crédito na maioria das universidades ?
o	DET	0	f32d39fbc7044eb6ada2ac189c2db703_pert_3	f32d39fbc7044eb6ada2ac189c2db703	0	0	1	50	0	Qual o limite de um crédito na maioria das universidades ?
limite	NOUN	0	f32d39fbc7044eb6ada2ac189c2db703_pert_3	f32d39fbc7044eb6ada2ac189c2db703	0	1	2	51	0	Qual o limite de um crédito na maioria das universidades ?
de	ADP	0	f32d39fbc7044eb6ada2ac189c2db703_pert_3	f32d39fbc7044eb6ada2ac189c2db703	0	0	3	52	0	Qual o limite de um crédito na maioria das universidades ?
um	DET	0	f32d39fbc7044eb6ada2ac189c2db703_pert_3	f32d39fbc7044eb6ada2ac189c2db703	0	0	4	53	0	Qual o limite de um crédito na maioria das universidades ?
crédito	NOUN	0	f32d39fbc7044eb6ada2ac189c2db703_pert_3	f32d39fbc7044eb6ada2ac189c2db703	0	0	5	54	0	Qual o limite de um crédito na maioria das universidades ?
na	ADP	0	f32d39fbc7044eb6ada2ac189c2db703_pert_3	f32d39fbc7044eb6ada2ac189c2db703	0	0	6	55	0	Qual o limite de um crédito na maioria das universidades ?
maioria	NOUN	0	f32d39fbc7044eb6ada2ac189c2db703_pert_3	f32d39fbc7044eb6ada2ac189c2db703	0	0	7	56	0	Qual o limite de um crédito na maioria das universidades ?
das	ADP	0	f32d39fbc7044eb6ada2ac189c2db703_pert_3	f32d39fbc7044eb6ada2ac189c2db703	0	0	8	57	0	Qual o limite de um crédito na maioria das universidades ?
universidades	NOUN	0	f32d39fbc7044eb6ada2ac189c2db703_pert_3	f32d39fbc7044eb6ada2ac189c2db703	0	0	9	58	0	Qual o limite de um crédito na maioria das universidades ?
?	PUNCT	0	f32d39fbc7044eb6ada2ac189c2db703_pert_3	f32d39fbc7044eb6ada2ac189c2db703	0	0	10	59	0	Qual o limite de um crédito na maioria das universidades ?
Qual o limite de um crédito na maioria das universidades ?	['DET', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	f32d39fbc7044eb6ada2ac189c2db703_pert_3	f32d39fbc7044eb6ada2ac189c2db703	0	-1	-1		1	Qual o limite de um crédito na maioria das universidades ?
Qual	DET	0	f32d39fbc7044eb6ada2ac189c2db703_pert_4	f32d39fbc7044eb6ada2ac189c2db703	0	0	0	61	0	Qual o risco de um crédito na maioria das universidades ?
o	DET	0	f32d39fbc7044eb6ada2ac189c2db703_pert_4	f32d39fbc7044eb6ada2ac189c2db703	0	0	1	62	0	Qual o risco de um crédito na maioria das universidades ?
risco	NOUN	0	f32d39fbc7044eb6ada2ac189c2db703_pert_4	f32d39fbc7044eb6ada2ac189c2db703	0	1	2	63	0	Qual o risco de um crédito na maioria das universidades ?
de	ADP	0	f32d39fbc7044eb6ada2ac189c2db703_pert_4	f32d39fbc7044eb6ada2ac189c2db703	0	0	3	64	0	Qual o risco de um crédito na maioria das universidades ?
um	DET	0	f32d39fbc7044eb6ada2ac189c2db703_pert_4	f32d39fbc7044eb6ada2ac189c2db703	0	0	4	65	0	Qual o risco de um crédito na maioria das universidades ?
crédito	NOUN	0	f32d39fbc7044eb6ada2ac189c2db703_pert_4	f32d39fbc7044eb6ada2ac189c2db703	0	0	5	66	0	Qual o risco de um crédito na maioria das universidades ?
na	ADP	0	f32d39fbc7044eb6ada2ac189c2db703_pert_4	f32d39fbc7044eb6ada2ac189c2db703	0	0	6	67	0	Qual o risco de um crédito na maioria das universidades ?
maioria	NOUN	0	f32d39fbc7044eb6ada2ac189c2db703_pert_4	f32d39fbc7044eb6ada2ac189c2db703	0	0	7	68	0	Qual o risco de um crédito na maioria das universidades ?
das	ADP	0	f32d39fbc7044eb6ada2ac189c2db703_pert_4	f32d39fbc7044eb6ada2ac189c2db703	0	0	8	69	0	Qual o risco de um crédito na maioria das universidades ?
universidades	NOUN	0	f32d39fbc7044eb6ada2ac189c2db703_pert_4	f32d39fbc7044eb6ada2ac189c2db703	0	0	9	70	0	Qual o risco de um crédito na maioria das universidades ?
?	PUNCT	0	f32d39fbc7044eb6ada2ac189c2db703_pert_4	f32d39fbc7044eb6ada2ac189c2db703	0	0	10	71	0	Qual o risco de um crédito na maioria das universidades ?
Qual o risco de um crédito na maioria das universidades ?	['DET', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	f32d39fbc7044eb6ada2ac189c2db703_pert_4	f32d39fbc7044eb6ada2ac189c2db703	0	-1	-1		1	Qual o risco de um crédito na maioria das universidades ?
Qual	DET	0	f32d39fbc7044eb6ada2ac189c2db703_pert_5	f32d39fbc7044eb6ada2ac189c2db703	0	0	0	73	0	Qual o impacto de um crédito na maioria das universidades ?
o	DET	0	f32d39fbc7044eb6ada2ac189c2db703_pert_5	f32d39fbc7044eb6ada2ac189c2db703	0	0	1	74	0	Qual o impacto de um crédito na maioria das universidades ?
impacto	NOUN	0	f32d39fbc7044eb6ada2ac189c2db703_pert_5	f32d39fbc7044eb6ada2ac189c2db703	0	1	2	75	0	Qual o impacto de um crédito na maioria das universidades ?
de	ADP	0	f32d39fbc7044eb6ada2ac189c2db703_pert_5	f32d39fbc7044eb6ada2ac189c2db703	0	0	3	76	0	Qual o impacto de um crédito na maioria das universidades ?
um	DET	0	f32d39fbc7044eb6ada2ac189c2db703_pert_5	f32d39fbc7044eb6ada2ac189c2db703	0	0	4	77	0	Qual o impacto de um crédito na maioria das universidades ?
crédito	NOUN	0	f32d39fbc7044eb6ada2ac189c2db703_pert_5	f32d39fbc7044eb6ada2ac189c2db703	0	0	5	78	0	Qual o impacto de um crédito na maioria das universidades ?
na	ADP	0	f32d39fbc7044eb6ada2ac189c2db703_pert_5	f32d39fbc7044eb6ada2ac189c2db703	0	0	6	79	0	Qual o impacto de um crédito na maioria das universidades ?
maioria	NOUN	0	f32d39fbc7044eb6ada2ac189c2db703_pert_5	f32d39fbc7044eb6ada2ac189c2db703	0	0	7	80	0	Qual o impacto de um crédito na maioria das universidades ?
das	ADP	0	f32d39fbc7044eb6ada2ac189c2db703_pert_5	f32d39fbc7044eb6ada2ac189c2db703	0	0	8	81	0	Qual o impacto de um crédito na maioria das universidades ?
universidades	NOUN	0	f32d39fbc7044eb6ada2ac189c2db703_pert_5	f32d39fbc7044eb6ada2ac189c2db703	0	0	9	82	0	Qual o impacto de um crédito na maioria das universidades ?
?	PUNCT	0	f32d39fbc7044eb6ada2ac189c2db703_pert_5	f32d39fbc7044eb6ada2ac189c2db703	0	0	10	83	0	Qual o impacto de um crédito na maioria das universidades ?
Qual o impacto de um crédito na maioria das universidades ?	['DET', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	f32d39fbc7044eb6ada2ac189c2db703_pert_5	f32d39fbc7044eb6ada2ac189c2db703	0	-1	-1		1	Qual o impacto de um crédito na maioria das universidades ?
Qual	DET	0	f32d39fbc7044eb6ada2ac189c2db703_pert_6	f32d39fbc7044eb6ada2ac189c2db703	0	0	0	85	0	Qual o prazo de um crédito na maioria das universidades ?
o	DET	0	f32d39fbc7044eb6ada2ac189c2db703_pert_6	f32d39fbc7044eb6ada2ac189c2db703	0	0	1	86	0	Qual o prazo de um crédito na maioria das universidades ?
prazo	NOUN	0	f32d39fbc7044eb6ada2ac189c2db703_pert_6	f32d39fbc7044eb6ada2ac189c2db703	0	1	2	87	0	Qual o prazo de um crédito na maioria das universidades ?
de	ADP	0	f32d39fbc7044eb6ada2ac189c2db703_pert_6	f32d39fbc7044eb6ada2ac189c2db703	0	0	3	88	0	Qual o prazo de um crédito na maioria das universidades ?
um	DET	0	f32d39fbc7044eb6ada2ac189c2db703_pert_6	f32d39fbc7044eb6ada2ac189c2db703	0	0	4	89	0	Qual o prazo de um crédito na maioria das universidades ?
crédito	NOUN	0	f32d39fbc7044eb6ada2ac189c2db703_pert_6	f32d39fbc7044eb6ada2ac189c2db703	0	0	5	90	0	Qual o prazo de um crédito na maioria das universidades ?
na	ADP	0	f32d39fbc7044eb6ada2ac189c2db703_pert_6	f32d39fbc7044eb6ada2ac189c2db703	0	0	6	91	0	Qual o prazo de um crédito na maioria das universidades ?
maioria	NOUN	0	f32d39fbc7044eb6ada2ac189c2db703_pert_6	f32d39fbc7044eb6ada2ac189c2db703	0	0	7	92	0	Qual o prazo de um crédito na maioria das universidades ?
das	ADP	0	f32d39fbc7044eb6ada2ac189c2db703_pert_6	f32d39fbc7044eb6ada2ac189c2db703	0	0	8	93	0	Qual o prazo de um crédito na maioria das universidades ?
universidades	NOUN	0	f32d39fbc7044eb6ada2ac189c2db703_pert_6	f32d39fbc7044eb6ada2ac189c2db703	0	0	9	94	0	Qual o prazo de um crédito na maioria das universidades ?
?	PUNCT	0	f32d39fbc7044eb6ada2ac189c2db703_pert_6	f32d39fbc7044eb6ada2ac189c2db703	0	0	10	95	0	Qual o prazo de um crédito na maioria das universidades ?
Qual o prazo de um crédito na maioria das universidades ?	['DET', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	f32d39fbc7044eb6ada2ac189c2db703_pert_6	f32d39fbc7044eb6ada2ac189c2db703	0	-1	-1		1	Qual o prazo de um crédito na maioria das universidades ?
Qual	DET	0	f32d39fbc7044eb6ada2ac189c2db703_pert_7	f32d39fbc7044eb6ada2ac189c2db703	0	0	0	97	0	Qual o objetivo de um crédito na maioria das universidades ?
o	DET	0	f32d39fbc7044eb6ada2ac189c2db703_pert_7	f32d39fbc7044eb6ada2ac189c2db703	0	0	1	98	0	Qual o objetivo de um crédito na maioria das universidades ?
objetivo	NOUN	0	f32d39fbc7044eb6ada2ac189c2db703_pert_7	f32d39fbc7044eb6ada2ac189c2db703	0	1	2	99	0	Qual o objetivo de um crédito na maioria das universidades ?
de	ADP	0	f32d39fbc7044eb6ada2ac189c2db703_pert_7	f32d39fbc7044eb6ada2ac189c2db703	0	0	3	100	0	Qual o objetivo de um crédito na maioria das universidades ?
um	DET	0	f32d39fbc7044eb6ada2ac189c2db703_pert_7	f32d39fbc7044eb6ada2ac189c2db703	0	0	4	101	0	Qual o objetivo de um crédito na maioria das universidades ?
crédito	NOUN	0	f32d39fbc7044eb6ada2ac189c2db703_pert_7	f32d39fbc7044eb6ada2ac189c2db703	0	0	5	102	0	Qual o objetivo de um crédito na maioria das universidades ?
na	ADP	0	f32d39fbc7044eb6ada2ac189c2db703_pert_7	f32d39fbc7044eb6ada2ac189c2db703	0	0	6	103	0	Qual o objetivo de um crédito na maioria das universidades ?
maioria	NOUN	0	f32d39fbc7044eb6ada2ac189c2db703_pert_7	f32d39fbc7044eb6ada2ac189c2db703	0	0	7	104	0	Qual o objetivo de um crédito na maioria das universidades ?
das	ADP	0	f32d39fbc7044eb6ada2ac189c2db703_pert_7	f32d39fbc7044eb6ada2ac189c2db703	0	0	8	105	0	Qual o objetivo de um crédito na maioria das universidades ?
universidades	NOUN	0	f32d39fbc7044eb6ada2ac189c2db703_pert_7	f32d39fbc7044eb6ada2ac189c2db703	0	0	9	106	0	Qual o objetivo de um crédito na maioria das universidades ?
?	PUNCT	0	f32d39fbc7044eb6ada2ac189c2db703_pert_7	f32d39fbc7044eb6ada2ac189c2db703	0	0	10	107	0	Qual o objetivo de um crédito na maioria das universidades ?
Qual o objetivo de um crédito na maioria das universidades ?	['DET', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	f32d39fbc7044eb6ada2ac189c2db703_pert_7	f32d39fbc7044eb6ada2ac189c2db703	0	-1	-1		1	Qual o objetivo de um crédito na maioria das universidades ?
Qual	DET	0	f32d39fbc7044eb6ada2ac189c2db703_pert_8	f32d39fbc7044eb6ada2ac189c2db703	0	0	0	109	0	Qual o papel de um crédito na maioria das universidades ?
o	DET	0	f32d39fbc7044eb6ada2ac189c2db703_pert_8	f32d39fbc7044eb6ada2ac189c2db703	0	0	1	110	0	Qual o papel de um crédito na maioria das universidades ?
papel	NOUN	0	f32d39fbc7044eb6ada2ac189c2db703_pert_8	f32d39fbc7044eb6ada2ac189c2db703	0	1	2	111	0	Qual o papel de um crédito na maioria das universidades ?
de	ADP	0	f32d39fbc7044eb6ada2ac189c2db703_pert_8	f32d39fbc7044eb6ada2ac189c2db703	0	0	3	112	0	Qual o papel de um crédito na maioria das universidades ?
um	DET	0	f32d39fbc7044eb6ada2ac189c2db703_pert_8	f32d39fbc7044eb6ada2ac189c2db703	0	0	4	113	0	Qual o papel de um crédito na maioria das universidades ?
crédito	NOUN	0	f32d39fbc7044eb6ada2ac189c2db703_pert_8	f32d39fbc7044eb6ada2ac189c2db703	0	0	5	114	0	Qual o papel de um crédito na maioria das universidades ?
na	ADP	0	f32d39fbc7044eb6ada2ac189c2db703_pert_8	f32d39fbc7044eb6ada2ac189c2db703	0	0	6	115	0	Qual o papel de um crédito na maioria das universidades ?
maioria	NOUN	0	f32d39fbc7044eb6ada2ac189c2db703_pert_8	f32d39fbc7044eb6ada2ac189c2db703	0	0	7	116	0	Qual o papel de um crédito na maioria das universidades ?
das	ADP	0	f32d39fbc7044eb6ada2ac189c2db703_pert_8	f32d39fbc7044eb6ada2ac189c2db703	0	0	8	117	0	Qual o papel de um crédito na maioria das universidades ?
universidades	NOUN	0	f32d39fbc7044eb6ada2ac189c2db703_pert_8	f32d39fbc7044eb6ada2ac189c2db703	0	0	9	118	0	Qual o papel de um crédito na maioria das universidades ?
?	PUNCT	0	f32d39fbc7044eb6ada2ac189c2db703_pert_8	f32d39fbc7044eb6ada2ac189c2db703	0	0	10	119	0	Qual o papel de um crédito na maioria das universidades ?
Qual o papel de um crédito na maioria das universidades ?	['DET', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	f32d39fbc7044eb6ada2ac189c2db703_pert_8	f32d39fbc7044eb6ada2ac189c2db703	0	-1	-1		1	Qual o papel de um crédito na maioria das universidades ?
Qual	DET	0	f32d39fbc7044eb6ada2ac189c2db703_pert_9	f32d39fbc7044eb6ada2ac189c2db703	0	0	0	121	0	Qual o tamanho de um crédito na maioria das universidades ?
o	DET	0	f32d39fbc7044eb6ada2ac189c2db703_pert_9	f32d39fbc7044eb6ada2ac189c2db703	0	0	1	122	0	Qual o tamanho de um crédito na maioria das universidades ?
tamanho	NOUN	0	f32d39fbc7044eb6ada2ac189c2db703_pert_9	f32d39fbc7044eb6ada2ac189c2db703	0	1	2	123	0	Qual o tamanho de um crédito na maioria das universidades ?
de	ADP	0	f32d39fbc7044eb6ada2ac189c2db703_pert_9	f32d39fbc7044eb6ada2ac189c2db703	0	0	3	124	0	Qual o tamanho de um crédito na maioria das universidades ?
um	DET	0	f32d39fbc7044eb6ada2ac189c2db703_pert_9	f32d39fbc7044eb6ada2ac189c2db703	0	0	4	125	0	Qual o tamanho de um crédito na maioria das universidades ?
crédito	NOUN	0	f32d39fbc7044eb6ada2ac189c2db703_pert_9	f32d39fbc7044eb6ada2ac189c2db703	0	0	5	126	0	Qual o tamanho de um crédito na maioria das universidades ?
na	ADP	0	f32d39fbc7044eb6ada2ac189c2db703_pert_9	f32d39fbc7044eb6ada2ac189c2db703	0	0	6	127	0	Qual o tamanho de um crédito na maioria das universidades ?
maioria	NOUN	0	f32d39fbc7044eb6ada2ac189c2db703_pert_9	f32d39fbc7044eb6ada2ac189c2db703	0	0	7	128	0	Qual o tamanho de um crédito na maioria das universidades ?
das	ADP	0	f32d39fbc7044eb6ada2ac189c2db703_pert_9	f32d39fbc7044eb6ada2ac189c2db703	0	0	8	129	0	Qual o tamanho de um crédito na maioria das universidades ?
universidades	NOUN	0	f32d39fbc7044eb6ada2ac189c2db703_pert_9	f32d39fbc7044eb6ada2ac189c2db703	0	0	9	130	0	Qual o tamanho de um crédito na maioria das universidades ?
?	PUNCT	0	f32d39fbc7044eb6ada2ac189c2db703_pert_9	f32d39fbc7044eb6ada2ac189c2db703	0	0	10	131	0	Qual o tamanho de um crédito na maioria das universidades ?
Qual o tamanho de um crédito na maioria das universidades ?	['DET', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	f32d39fbc7044eb6ada2ac189c2db703_pert_9	f32d39fbc7044eb6ada2ac189c2db703	0	-1	-1		1	Qual o tamanho de um crédito na maioria das universidades ?
Qual	DET	0	f32d39fbc7044eb6ada2ac189c2db703_pert_10	f32d39fbc7044eb6ada2ac189c2db703	0	0	0	133	0	Qual o perfil de um crédito na maioria das universidades ?
o	DET	0	f32d39fbc7044eb6ada2ac189c2db703_pert_10	f32d39fbc7044eb6ada2ac189c2db703	0	0	1	134	0	Qual o perfil de um crédito na maioria das universidades ?
perfil	NOUN	0	f32d39fbc7044eb6ada2ac189c2db703_pert_10	f32d39fbc7044eb6ada2ac189c2db703	0	1	2	135	0	Qual o perfil de um crédito na maioria das universidades ?
de	ADP	0	f32d39fbc7044eb6ada2ac189c2db703_pert_10	f32d39fbc7044eb6ada2ac189c2db703	0	0	3	136	0	Qual o perfil de um crédito na maioria das universidades ?
