id;documento;classe;Avaliador 1;Avaliador 2;Avaliador 3
13;O texto de Liana Coll, em Jornal da Unicamp de 07 a 20 de agosto de 2023 apresenta que no início dos anos 2000 mais de 1 bilhão de abelhas morreram no Brasil, situação também registrada no Europa e nos Estados Unidos. As causas se devem a expansão da monocultura e a alta utilização de agrotóxicos, gerando preocupação, pois cerca de 70% de todas as plantas são polimizadas por esses insetos. A química e pesquisadora Ana Paula de Souza do (CPBQA) da Unicamp, identificou a presença de agrotóxicos no mel e cera das abelhas, bioindicadores de contaminação. A análise realizada na cera apresentou um ou mais agrotóxicos em 90% das amostras. O orientador foi o professor da FEA, Felix Rayes juntamente a coorientação da coordenadora da Divisão Química Analítica do CPQBA, Nádia Rodrigues. A pesquisadora destaca a utilização do mel nas indústrias e pontua a importância de identificar contaminações. A mesma recomenda a submissão das práticas agrícolas e o seu controle adequado para evitar que os agrotóxicos permaneçam afetando a biodiversidade e a população das abelhas.;1;6;6;7
14;"Na pesquisa ""agrotóxicos em cera e mel de abelha"", publicada em 2023 no jornal da Unicamp, Liana coll, retrata o aumento de mortes das abelhas nos últimos anos, causada pelo uso excessivo de agrotóxicos em monoculturas. A pesquisadora e química Ana Paula de Souza, realizou uma pesquisa com o mel e a cera de abelhas comuns, notando grande presença de pesticidas, o que gerou preocupação, já que as abelhas são responsáveis em média por 70% da polinização em todo o mundo. Souza recomenda que aja uma fiscalização mais controlada no que com cerne a atividade agrícola.";1;4;4;4
15;"No texto ""Agrotóxicos são detectados em cera e mel de abelhas"", de Liana Coll, publicado no Jornal da UNICAMP, de 07 a 20 de agosto de 2023, expõe que devido à expansão da monocultura, que utiliza agrotóxicos, cerca de mais de 1 bilhão de abelhas morreram no Brasil. Esse número é preocupante, pois os insetos polinizam 70% de todas as plantas do planeta. Diante disso, a pesquisadora Ana Paula de Souza, examinou a presença dos agrotóxicos no mel e na cera das abelhas comuns, por serem bioindicadores de contaminação. Os resultados apresentam 90% das amostras contaminadas com agrotóxico. A motivação pelo tema surgiu devido o aumento das mortes das abelhas no Brasil, Europa e nos Estados Unidos, e pela importância dos produtos apícolas. A pesquisadora recomenda que seja controlado o uso de agrotóxicos. ";1;4;6;6
16;Uma pesquisa feita pela pesquisadora Ana Paula de Souza da Universidade Unicamp, contatou que no período de (2000-2023), foi aferido aproximadamente 1 bilhão de abelhas mortas do tipo comum, no Brasil. Ademais, foi dito por Ana que a morte dos animais deve-se a   grande utilização dos agrotóxicos em grandes latifúndios. Por conseguinte ocasiona danos a população de operárias(abelhas), elas sendo responsáveis p3la a maior parte dos polinizadores do mundo. Isso podendo causar elevados prejuízos à produção de alimentos agrícolas do país, além de deixar o mel contaminado com substâncias tóxicas.;1;2;3;3
17;"No texto """"Agrotóxicos são detectados em cera e mel de abelha"""", publicado no jornal da Unicampi, em agosto de 2023, expõem o fato de que por uso excessivo de pesticidas, mais de 1 bilhão de abelhas morreram no Brasil, no começo dos anos 2000, o que gera uma preocupação porque esses insetos ajudam na agricultura e polinizam 70% das plantas da Terra. Sabendo o quão importante as abelhas são para haver equilíbrio no ecossistema, a pesquisadora Ana Paula de Souza analisou o mel das abelhas africanas, e relatou que 6 de 40 amostras analisadas excediam o limite máximo de herbicida glifosfato. Essa preocupação se consolidou frente sua relevância para a polinização das plantações. Como o mel é um alimento inserido na dieta de muitas pessoas e crianças, saber se há uma contaminação, se torna uma prioridade, assim como no caso da cera que é utilizada na indústria de cosméticos. Por fim, para evitar esse problema que os agrotóxicos causam nas abelhas e em sua biodiversidade, Souza recomenda que haja um controle mais rigoroso em relação ao uso desses pesticidas nas práticas agrícolas.";1;4;5;6,5
18;"No texto ""Agrotóxicos são detectados em cera e mel de abelha"", publicado em 2023 no Jornal da Unicamp, Diana Coll expõe a pesquisa realizada pela química Ana Paula de Souza, em sua tese de doutorado. Analisando produtos apícolas, bioindicadores da contaminação das abelhas, foi possível detectar que 15% das amostras de mel continham resíduos de herbicida acima do limite permitido e 90% das amostras de cera apresentaram um ou mais pesticidas. Essa análise foi incentivada pela preocupação com a morte massiva das abelhas africanas, conhecidas como comuns, no Brasil, além da importância delas para a polinização de plantações e produção agrícola. Souza também destaca o uso de mel em xaropes e da cera na indústria de cosméticos, tornando ainda mais relevante determinar se há ou não a contaminação. Para evitar que agrotóxicos continuem afetando a biodiversidade, a pesquisadora recomenda um controle mais adequado desses produtos nas práticas agrícolas.";1;5;7;8
19;No texto retirado do jornal sobre ”Agrotóxicos são detectados em cera e mel de abelha”, observa-se um aumento nas mortes das apícolas sendo ocasionado pela utilização em excesso de agrotóxicos. Este impacto acarreta uma mudança instantânea do ecossistema, pois esses animais cuidam de 70% da polinização das plantas. Assim a pesquisadora Ana Paula de Souza da Unicamp, verificou nas abelhas Apis melífera L., chamadas como abelhas comuns, um grande número de agrotóxicos em sua cera e mel, diante das mostras 90% estavam nestas condições. Ela destaca que deve-se haver uma fiscalização rígida sobre agricultura e seus inseticidas, porque isto pode destruir a biodiversidade do mundo.;1;5;7;6
20;"Na notícia publicada no jornal da Unicamp, "" Agrotóxicos são identificados em cera e mel de abelha', Liana Coll descreve e discorre sobre a pesquisa de doutorado de Ana Paula de Souza. Assim problematiza que, desde o início do século XXI, já morreram mais de 1 bilhão de abelhas apenas no Brasil e dentre as diversas causas, a monocultura e seu uso desenfreado de agrotóxicos são os principais responsáveis. O impacto é preocupante, pois a maior parte de toda polinização vegetal provém delas, além de seu papel no cultivo artificial, como em mamoeiros. Para mediar a quantidade de agrotóxicos encontrados, foram utilizados o mel e a cera como bioindicadores, logo que é muito difícil analisar as ""Apis meliferas"" (abelha comum) dado tamanho e peso muito pequeno, ademais, os produtos apícolas refletem sua alimentação. Após isso foram contatados os tóxicos acima do recomendável em 15 e 90% respectivamente referido ao mel e cera, que são manipulados desde produtos farmacêuticos e alimentícios à cosméticos. Diante disso, a contaminação humana torna-se consequência. Por fim, a pesquisadora recomenda maior regulamentação das práticas agrícolas para evitar maiores desastres ambientais.";1;6;8;7,5
21;Na notícia “Agrotóxicos são detectados em cera e mel de abelhas”, publicado entre 07 e 20 de agosto de 2023 no jornal da UNICAMP, pela autora Liana Coll, onde aborda a tese de doutorado da química e pesquisadora Ana Paula de Souza. Sua pesquisa foi realizada na Faculdade de Engenharia Alimentar (FEA), onde analisou o mel e cera das abelhas Apis Malifera L, já que analisar as próprias abelhas seria muito difícil devido ao seu tamanho, das 40 amostras de mel analisadas 6 apresentam mais agrotóxicos do que o permitido e nas ceras 90% das amostras estavam infectadas. Em sua tese a cientista relaciona essa presença a expansão da monocultura e ao uso massivo de agrotóxicos e se deu inicio diante da preocupação com a grande quantidade de morte de abelhas no Brasil, Europa e Estados Unidos, frente aos resultados das pesquisas a cientista recomenda que as praticas agrícolas sejam mais rigorosamente controladas.;1;7;6;5
22;A mortandade de abelhas é preocupante pois são necessárias para a polinização de diversas plantas e cultivou, porém este problema está cada vez maior, tanto no Brasil quanto em outros países por conta do alto uso de agrotóxicos. Foram verificados pela pesquisadora Ana Paula de Souza do CPBQA da Unicamp altos índices dessas substâncias, tanto no mel, quanto na cera das abelhas, ela, junto com seus coordenadores pretendem determinar se há contaminação nesses itens. Para evitar esses problemas, a pesquisadora recomenda que haja o controle dessas práticas para que ocorra o equilíbrio.;1;3;3;1
23;"No texto ""Agrotóxicos são detectados em cera e mel de abelha"", publicado em 2023 no Jornal da Unicamp, Liana Coll expõe o risco da utilização de agrotóxicos para a vida das abelhas. A autora destaca a preocupação com a mortandade das abelhas, contando com mais de um bilhão de mortes desde um pouco antes do início do século XXI. Além desse fato, Coll apresenta uma pesquisa de doutorado feita por Ana Paula de Souza, em que ela encontra agrotóxicos no mel e na cera da abelha em grandes quantidades, o que indica que a qualidade de vida do próprio inseto pode estar em risco. A pesquisadora demonstra, ainda, que as abelhas são polinizadoras indispensáveis, por exemplo, no cultivo de mamão. Portanto, a química explicita que a contaminação por agrotóxicos afeta as abelhas e indica um risco para a biodiversidade. Com isso, ela conclui que o uso desses produtos deve ser contido adequadamente.";1;9;9;9,5
24;"No texto escrito por Liana Coll, ""Agrotóxicos  são detectados em cera e mel de abelha"", publicado no Jornal da UNICAMP, explana como o uso intensivo de agrotóxicos está relacionado à contaminação de produtos apícolas. As principais questões ligadas ao tema incluem a saúde das abelhas, a qualidade dos produtos e os impactos na cadeia alimentar. O interesse em pesquisas acadêmicas pelo assunto se deu pela preocupação com a morte massiva de abelhas no Brasil, Europa e Estados Unidos por conta da relevância desses insetos na polinização de plantações. A contaminação do mel e da cera podem prejudicar a saúde humana e comprometer a segurança alimentar, além de afetar a biodiversidade e os ecossistemas.	";1;3;2;4
