topico;fonte;sentenca
pilha;wikipedia;In a FIFO data structure, the first element added to the queue will be the first one to be removed.
pilha;wikipedia;This is equivalent to the requirement that once a new element is added, all elements that were added before have to be removed before the new element can be removed.
pilha;wikipedia;A queue is an example of a linear data structure, or more abstractly a sequential collection.
pilha;wikipedia;Queues are common in computer programs, where they are implemented as data structures coupled with access routines, as an abstract data structure or in object-oriented languages as classes.
pilha;wikipedia;Common implementations are circular buffers and linked lists.
pilha;wikipedia;Queues provide services in computer science, transport, and operations research where various entities such as data, objects, persons, or events are stored and held to be processed later.
pilha;wikipedia;In these contexts, the queue performs the function of a buffer.
pilha;wikipedia;Another usage of queues is in the implementation of breadth-first search.
pilha;wikipedia;Theoretically, one characteristic of a queue is that it does not have a specific capacity.
pilha;wikipedia;Regardless of how many elements are already contained, a new element can always be added.
pilha;wikipedia;It can also be empty, at which point removing an element will be impossible until a new element has been added again.
pilha;wikipedia;Fixed-length arrays are limited in capacity, but it is not true that items need to be copied towards the head of the queue.
pilha;wikipedia;The simple trick of turning the array into a closed circle and letting the head and tail drift around endlessly in that circle makes it unnecessary to ever move items stored in the array.
pilha;wikipedia;If n is the size of the array, then computing indices modulo n will turn the array into a circle.
pilha;wikipedia;This is still the conceptually simplest way to construct a queue in a high-level language, but it does admittedly slow things down a little, because the array indices must be compared to zero and the array size, which is comparable to the time taken to check whether an array index is out of bounds, which some languages do, but this will certainly be the method of choice for a quick and dirty implementation, or for any high-level language that does not have pointer syntax.
pilha;wikipedia;The array size must be declared ahead of time, but some implementations simply double the declared array size when overflow occurs.
pilha;wikipedia;Most modern languages with objects or pointers can implement or come with libraries for dynamic lists.
pilha;wikipedia;Such data structures may have not specified a fixed capacity limit besides memory constraints.
pilha;wikipedia;Queue overflow results from trying to add an element onto a full queue and queue underflow happens when trying to remove an element from an empty queue.
pilha;wikipedia;A bounded queue is a queue limited to a fixed number of items.
fila;Thomas Cormen;"We call the INSERT operation on a queue ENQUEUE, and we call the DELETE operation DEQUEUE; like the stack operation POP, DEQUEUE takes no element argument."
fila;Thomas Cormen;The FIFO property of a queue causes it to operate like a line of customers waiting to pay a cashier.
fila;Thomas Cormen;The queue has a head and a tail.
fila;Thomas Cormen;When an element is enqueued, it takes its place at the tail of the queue, just as a newly arriving customer takes a place at the end of the line.
fila;Thomas Cormen;The element dequeued is always the one at the head of the queue, like the customer at the head of the line who has waited the longest.
fila;Thomas Cormen;Figure 10.2 shows one way to implement a queue of at most n-1 elements using an array Q[1..n].
fila;Thomas Cormen;The queue has an attribute Q:head that indexes, or points to, its head.
fila;Thomas Cormen;The attribute Q:tail indexes the next location at which a newly arriving element will be inserted into the queue.
fila;Thomas Cormen;"The elements in the queue reside in locations Q.head;Q.head + 1;...;Q.tail - 1, where we “wrap around” in the sense that location 1 immediately follows location n in a circular order."
fila;Thomas Cormen;When Q:head D Q:tail, the queue is empty.
fila;Thomas Cormen;Initially, we have Q:head D Q:tail D 1.
fila;Thomas Cormen;If we attempt to dequeue an element from an empty queue, the queue underflows.
fila;Thomas Cormen;When Q.head = Q.tail + 1, the queue is full, and if we attempt to enqueue an element, then the queue overflows.
fila;Thomas Cormen;In our procedures ENQUEUE and DEQUEUE, we have omitted the error checking for underflow and overflow.
fila;Thomas Cormen;(Exercise 10.1-4 asks you to supply code that checks for these two error conditions.)
fila;Thomas Cormen;The pseudocode assumes that n D Q:length.
fila;Thomas Cormen;ENQUEUE(Q,x)
fila;Thomas Cormen;1 Q[Q.tail] = x
fila;Thomas Cormen;2 if Q.tail
fila;Thomas Cormen;== Q.length
fila;Thomas Cormen;3 Q.tail = 1
fila;Thomas Cormen;4 else Q.tail = Q.tail + 1
fila;Thomas Cormen;DEQUEUE(Q)
fila;Thomas Cormen;1 x D Q[Q.head]
fila;Thomas Cormen;2 if Q.head == Q.length
fila;Thomas Cormen;3 Q.head = 1
fila;Thomas Cormen;4 else Q.head D Q.head + 1
fila;Thomas Cormen;5 return x
fila;Thomas Cormen;Figure 10.2 shows the effects of the ENQUEUE and DEQUEUE operations.
fila;Thomas Cormen;Each operation takes O.1/ time.
